notion_id,recipe_name,order_index,body_text
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,0,Top with toasted breadcrumbs
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,1,broccoli rabe filling?
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,0,You can optionally sub out the overnight chill with an hour in the freezer. Bake for 12 - 15 minutes instead of the normal time.
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1,"For a gooier cookie, try 240g of flour"
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,2,100g of white sugar + 1/2 tbsp molasses to get brown sugar
25a03a80-9ca1-8038-bc3f-ca69e7898c80,Fattoush,0,"Chop everything as small as you can, the smaller the pieces, the more cohesive the salad will be!r"
25a03a80-9ca1-8038-bc3f-ca69e7898c80,Fattoush,1,"If you wanted to make your own dressing, shake all these ingredients together vigorously in a jar:"
25a03a80-9ca1-8038-bc3f-ca69e7898c80,Fattoush,2,Serve with a side of protein seasoned w/ za’atar!
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,0,"If trying to make an orzo soup, gently remove the cod filets into a bowl and then add in the orzo. Be sure to stir to make sure the orzo doesn’t clump."
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,1,Calorie count doesn’t include orzo and/or rice.
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,2,The protein here can be switched to any fish or even shrimp!
25a03a80-9ca1-8080-984a-e17a81c31a9d,Dan Dan Noodles,0,Check Derek Chen Dan Dan noodle recipe and modify.
25a03a80-9ca1-808b-bac2-f0bbb6084f99,Chicken Satay,0,"Optionally chicken be cooked on the stove top with a little oil. Spread evenly, once cooked flip. Then put onto a baking sheet, pour marinade on top and broil again."
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,0,Add a black sesame swirl
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,1,Alternative Banana Bread Recipe to Try:
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,2,Try browning butter
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,0,try using less butter??
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,1,"instead of large potatoes, try  halving mini potatoes, they keep shape better"
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,2,how much kale can we stuff into this soup??
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,3,more protein? omg beans? add in beans?
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,4,Try deglazing with white whine
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,5,Try adding in gnochi?
25a03a80-9ca1-80b3-9e41-f83c73a27647,Lime and Brown Sugar Glazed Salmon,0,Optionally: Bake to finish with extra salmon glaze
25a03a80-9ca1-80ff-8284-f7ef19104186,Chicken Wings,0,Mango Habanero Sauce:
25a03a80-9ca1-80ff-8284-f7ef19104186,Chicken Wings,1,Chinese Hoisin BBQ Sauce:
25a03a80-9ca1-80ff-8284-f7ef19104186,Chicken Wings,2,Garlic Parmesan Sauce:
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,0,https://youtu.be/O1TNRYVZD8w?si=6VnlZpubIRQz1I9D
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,1,^ watch this and make some changes to the og recipe!
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,0,"Flower Child Version: 810 calories, 9g fiber, 47g protein"
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,1,"Chicken Enchiladas - guajillo chile, smoked gouda, poblano crema, organic black bean, roasted corn, avocado"
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,2,Lazy Store Bought Enchilada Sauce Option: Siete Green Enchilada Sauce (about 1.5 cans or 600g of the sauce for this recipe I think)
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,3,Try monterey jack vs the smoked gouda as well
28d03a80-9ca1-80c6-8b65-e8d115af5fdc,Arayes,0,Consider baking depending on thickness of meat/if it doesn’t cook all the way
28e03a80-9ca1-802b-9f84-f6a9fca8144f,Nutella,0,Will keep at room temp for a week or in the fridge for a few weeks.
28e03a80-9ca1-802b-9f84-f6a9fca8144f,Nutella,1,Try replacing milk chocolate with milk to cut the calories a little bit?
28e03a80-9ca1-8074-87aa-c1f0e9318fe8,Crepes,0,"Reference - 10 inch pan = 4 tbsp aka 1/4 cup, 12 inch skillet = 5 tbsp"
28e03a80-9ca1-8074-87aa-c1f0e9318fe8,Crepes,1,"For sweet crepes, try adding Grand Marnier or Amaretto to the batter! Also try, cinnamon, nutmeg, or citrus zest."
28e03a80-9ca1-8074-87aa-c1f0e9318fe8,Crepes,2,"Topping Ideas: Fruit preserve, chocolate ganache, Nutella, fresh fruit, bananas, and even some pastry creme."
28e03a80-9ca1-8074-87aa-c1f0e9318fe8,Crepes,3,"For savory crepes, skip the vanilla and sugar and add chopped herbs, some pepper, or some garlic powder."
28e03a80-9ca1-8074-87aa-c1f0e9318fe8,Crepes,4,"Topping ideas: Ham, Asparagus, Hollandaise Sauce, Prosciutto, Arugula, Cheese, Dijon Mustard, Cherry tomatoes, roasted veggies, mushrooms!"
28e03a80-9ca1-8076-87da-cc87169a4cb5,Tiramisu,0,Chai Tiramisu:
28e03a80-9ca1-8076-87da-cc87169a4cb5,Tiramisu,1,Rasmalai Tiramisu:
28e03a80-9ca1-8076-87da-cc87169a4cb5,Tiramisu,2,Ferrero Rocher Tiramisu:
28e03a80-9ca1-8076-87da-cc87169a4cb5,Tiramisu,3,https://www.instagram.com/reel/DU_bZhuiHoY/?igsh=bXpqYzg0a2thd3N6
28e03a80-9ca1-80eb-a6e7-f221f9a50243,Smash Burger Tacos,0,"Less protein if using beef (37g), and a little less calories than noted (605 cal) if using turkey as ground meat."
29203a80-9ca1-806c-8580-f50ffbf2ad75,Chicken Biriyani,0,"Boil rice for only 3 - 4 minutes, leave it very undercooked!!"
29303a80-9ca1-80a3-bf38-ce532d3566cb,Burnt Basque Cheesecake V1,0,"Sub mascarpone for cream cheese for a thicker, richer cheesecake."
29303a80-9ca1-80a3-bf38-ce532d3566cb,Burnt Basque Cheesecake V1,1,"This cheesecake is more creamy and jiggly in consistency than regular cheesecake, but don’t worry, this is the correct texture and it will continue to set as it cools!"
29303a80-9ca1-80a3-bf38-ce532d3566cb,Burnt Basque Cheesecake V1,2,"If the cheesecake is done baking but the color has not reached the burnt-level expected, broil the cheesecake for 20-30 sec."
29303a80-9ca1-80a3-bf38-ce532d3566cb,Burnt Basque Cheesecake V1,3,To add a pistachio flavor:
29303a80-9ca1-80c2-a6cd-c75ca9d0786a,Baked Cheesecake,0,Topping Ideas:
29703a80-9ca1-80bb-a93e-d7bae46d7d44,Rosemary Roast Potatoes,0,"Recipe might work better with more oil, experiment!"
29903a80-9ca1-8035-921b-fbb15cee0d96,Picked Red Onions,0,"Play around with different vinegars, apple cider, rice wine, red wine vinegar"
2a503a80-9ca1-80af-9015-d99d2690b277,Churros,0,"Instead of frying, try air frying at 350* for 10 - 12 minutes! Need to change recipe at all? Also note how much to use to make much much less dough!!"
2a803a80-9ca1-8074-b1e9-ece32c977a5f,Honey + Sage Butter Milk Buns,0,How to Shape: https://youtu.be/cI2kLJrg0eY?si=zBidHlpBAI4zIRGS
2a803a80-9ca1-8074-b1e9-ece32c977a5f,Honey + Sage Butter Milk Buns,1,https://bakecookrepeat.com/recipe/milk-bread-recipe/
2a803a80-9ca1-8074-b1e9-ece32c977a5f,Honey + Sage Butter Milk Buns,2,https://justinesnacks.com/honey-butter-milk-buns/
2a803a80-9ca1-8093-a16f-d9eb14c1b06e,Shakshuka,0,https://ashbaber.com/shakshuka/
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,0,https://ashbaber.com/mochi-brownies/
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,1,https://www.instagram.com/reel/DLIGhy_gxDB/?igsh=MXF3N2V0bGF3OGxzMA==
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,2,https://www.instagram.com/reel/DUv4R9DiZAg/?igsh=MW9mNXZtZ2I3Z2xkeg==
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,3,science behind brownies: https://www.instagram.com/reel/DU4EGGsjYUS/?igsh=am43Y2RqZGhwbDBt
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,4,https://www.instagram.com/reel/DRhN74aCIYL/?igsh=Y3A5ZG1xamw1bGl6
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,5,https://www.vernabanana.com/recipes/chocolate-mochi-brownies
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,6,Less flower and cacao powder for more fudgy? Use dark chocolate only for richer/not to sweet!
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,7,https://whatgreatgrandmaate.com/easy-fudgy-flourless-avocado-brownies/
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,8,https://www.instagram.com/reel/DNlYEpIJhhC/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,9,https://www.instagram.com/reel/DNqte0mPxCD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
2a803a80-9ca1-809b-98ec-c9055da30453,Brownies,10,https://www.instagram.com/reel/DNVqJCTu77n/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
2a803a80-9ca1-80bf-84f3-e6c415677fc6,Brookies,0,Second link has a method to cover with foil rather than removing and re-adding raw cookie dough.
2a803a80-9ca1-80bf-84f3-e6c415677fc6,Brookies,1,https://ashbaber.com/brookies/
2a803a80-9ca1-80bf-84f3-e6c415677fc6,Brookies,2,https://preppykitchen.com/brookies/#recipe
2bd03a80-9ca1-80e6-a21b-e1f1c4dc5b81,Horchata,0,Straining with a cheese cloth is a good idea to get excess rice out.
2bd03a80-9ca1-80e6-a21b-e1f1c4dc5b81,Horchata,1,"Mixture will still be thick depending on how finely it was blended, pour into serving container and set aside for a few hours to let all the residue settle and pour from the top!"
2bd03a80-9ca1-80e6-a21b-e1f1c4dc5b81,Horchata,2,Serve w/ some rum!
2c403a80-9ca1-80da-bf5e-c16003893a08, Matcha Latte w/ Cold Foam,0,Brown Sugar Cold Foam:
2c503a80-9ca1-800a-bad0-d44e18e9c195,Pho Ga,0,"Good Bones options include Chicken Back Bones, very high in collagen and only $3 at hmart!"
2c503a80-9ca1-800a-bad0-d44e18e9c195,Pho Ga,1,"If you still have excess oil in pho, place into fridge overnight, fat will solidify at the top and you can scrape it off with a spoon."
2c503a80-9ca1-803a-ba53-c4d0b65aad31,White Miso Glazed Fish,0,"Extra miso can be used as a quick marinade for chicken or veggies, etc."
2c503a80-9ca1-803a-ba53-c4d0b65aad31,White Miso Glazed Fish,1,Serve with a side of miso glazed veggies + rice w/ a little rice vinegar
2c503a80-9ca1-803a-ba53-c4d0b65aad31,White Miso Glazed Fish,2,Top with scallions!
2d403a80-9ca1-80f9-ad0b-fe7492549a0f,Thai Tea,0,Thai tea base can be stored in the fridge and  it will last at least a couple of weeks.
2dc03a80-9ca1-801c-af62-f6632b10be72,Burnt Basque Cheesecake V2,0,https://ashbaber.com/san-sebastian-cheesecake/
2e603a80-9ca1-8031-915a-d3f92610fa67,Dirty Thai Tea Jello Shots,0,"Makes about ~24 2x1” shots, each will have about 0.2 shots of alcohol"
2e703a80-9ca1-8018-811d-d2eec1d1a7ec,Red Wine Poached Pear,0,"The beauty of this dessert is that is delicious whether hot or cold. I typically serve them cold, but you can also serve them room temp. If you prefer a hot dessert, just warm the pears up on the stove. Just don’t warm up the mascarpone cream - that should always stay cold!"
2e703a80-9ca1-8018-811d-d2eec1d1a7ec,Red Wine Poached Pear,1,You can add more pears to this recipe if needed without adjusting the amount as long as all the pears are still fully submerged in the red wine.
2e703a80-9ca1-809d-bd22-fa5a98d9eddb,Marshmallows,0,"When making the sugar syrup, add in your sugar, corn syrup, and water slowly and bring over medium heat, make sure everything is melted before bringing it to a boil — if you splash water and sugar around, it will make it easier to form sugar crystals and ruin your syrup!!"
2e703a80-9ca1-809d-bd22-fa5a98d9eddb,Marshmallows,1,"If you don’t have a thermometer, once everything is melted and at a low boil, make sure it comes to a full boil for 1 minute, that should work!"
2e703a80-9ca1-809d-bd22-fa5a98d9eddb,Marshmallows,2,"Check the whipped texture starting at 6 minutes, it should not be fully stiff peaks as this will make the mixture hard to work with and shape."
2e703a80-9ca1-809d-bd22-fa5a98d9eddb,Marshmallows,3,"Store in a ziploc, airtight bag with some of the extra powdered sugar cornstarch mixture (this will prevent sticking) in cool dry place  they should be good for 2 to 3 weeks, or 3 to 4 in the fridge."
2f803a80-9ca1-80d8-a317-edbdb09396ff,Fish Tacos,0,Marinade Ideas:
2fa03a80-9ca1-8049-a7dc-cfa9e40228b9,Italian Wedding Soup,0,Optional: Add a splash of cream or coconut milk for creaminess to the soup!
2fa03a80-9ca1-8059-a931-d526cc309735,Bowl Soup Dumplings ,0,"For frozen dumpling wrappers, don’t use straight from frozen. Let sit at room tempt for 10-15 minutes till flexible and bendy"
2fa03a80-9ca1-8059-a931-d526cc309735,Bowl Soup Dumplings ,1,"Wrapper doesn’t have to fit perfectly! Just a soft lid, not a seal!"
2fa03a80-9ca1-8059-a931-d526cc309735,Bowl Soup Dumplings ,2,"Optional: Two layers of wonton wrappers! Fill filling 1/3 of the way, add wrapper, fill the rest, add another wrapper."
2fc03a80-9ca1-800b-a457-d77a918495ad,Breakfast Tostada,0,Some crema would taste amazing with this too!
30c03a80-9ca1-8044-8c65-c70c94017218,Spicy Salmon Crispy Rice,0,To enhance texture of salmon when leaving bigger chunks:
30c03a80-9ca1-80ca-98d5-e8467f32c21b,Spicy Tuna Melt,0,Add kimchi to the tuna?
30c03a80-9ca1-80ca-98d5-e8467f32c21b,Spicy Tuna Melt,1,"Try two bread slices, etc."
31003a80-9ca1-8022-bd14-ca6a427e868b,Keema Sausage Rolls,0,can be prepped ahead of time and frozen till needed
31003a80-9ca1-8022-bd14-ca6a427e868b,Keema Sausage Rolls,1,add baking soda to meat mixture?
31003a80-9ca1-8022-bd14-ca6a427e868b,Keema Sausage Rolls,2,blend onion instead of dicing?
31003a80-9ca1-8022-bd14-ca6a427e868b,Keema Sausage Rolls,3,chill in the freezer before cutting into bite sized pieces?
31003a80-9ca1-8066-b78d-c4192bd67de2,Quiche,0,Optional: Buy a single 9 in refrigerated pie crust (Pillsbury or trader joes)
31003a80-9ca1-8068-98ea-d82e360e0421,Salt Bread,0,https://zhangcatherine.com/no-knead-easy-salt-bread-shio-pan/?fbclid=PAVERFWAQJY49leHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafn1xqr2l598WzAQe6Px4iCa9cIqVrq82JXey7CTSnnvK6pUzZUELnaaHgFCw_aem_RtEqsQQEyv4En11ZQTWswA
31003a80-9ca1-8068-98ea-d82e360e0421,Salt Bread,1,https://erinscozykitchen.com/recipe/no-knead-salt-bread/
31003a80-9ca1-8068-98ea-d82e360e0421,Salt Bread,2,https://erinscozykitchen.com/recipe/salt-bread-shiopan/
31003a80-9ca1-8068-98ea-d82e360e0421,Salt Bread,3,https://littlebbanghouse.com/83/salt-bread-japanese-shio-pan/
31003a80-9ca1-8068-98ea-d82e360e0421,Salt Bread,4,https://littlebbanghouse.com/51/chocolate-salt-bread/
31003a80-9ca1-8068-98ea-d82e360e0421,Salt Bread,5,garlic butter salt bread
31003a80-9ca1-8078-bfd7-f05d37afbe1c,Korean Marinated Eggs,0,add in 2.5 tbsps of sugar
31003a80-9ca1-8078-bfd7-f05d37afbe1c,Korean Marinated Eggs,1,try adding in a fresno and a serrano chili
31003a80-9ca1-8078-bfd7-f05d37afbe1c,Korean Marinated Eggs,2,trg using boiling water to help dissolve sugar?
31103a80-9ca1-800d-b6f2-db9bee2191c3,Flan,0,Flan can store in the fridge in an airtight container for up to 5 days.
31103a80-9ca1-801d-9fff-db36e1d4edea,Apple Brie Crostini,0,Hot Honey Recipe:
31103a80-9ca1-80a4-9e5b-f2546361a0df,Halal Cart Rice Bowl,0,"To make rice more interesting, toast some turmeric and cumin powder in ghee before reheating rice in that"
31103a80-9ca1-80a4-9e5b-f2546361a0df,Halal Cart Rice Bowl,1,Optionally cook rice in chicken broth
31203a80-9ca1-804a-95e1-c106e51f888a,Espresso Martini Jell-o Shots,0,Fills an 8x8 tray!
31203a80-9ca1-8079-81d0-c34021e7b1e1,Grapefruit Hugo Spritz,0,To make a mocktail:
31203a80-9ca1-80d1-8105-d4775889923d,Peach Coladas,0,"For Mocktail, sub:"